As of Date,Fund,Trustee Fund Number,Trustee Fund Name,Donor Code,Donor Name ,Donor Agency,Fiscal Year of Agreement,Contributions Paid In (USD),Contributions Outstanding (USD),Total Contribution (USD),Status
09/12/2012,FS-7PE,TF071145,Moldova Second Poverty Reduction Support Project,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$5116790.75,$0.00,$5116790.75,LCLS
09/12/2012,MN-FS,TF071199,Mongolia's Index-Based Livestock Insurance Project,CH,Switzerland,Swiss Agency for Development and Cooperation (SDC),2009,$753631.44,$0.00,$753631.44,ACTN
09/12/2012,AFRSD,TF071201,Multi Donor Fund for the Rural Economic Development and Food Security in Ethiopia,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$2063110.00,$0.00,$2063110.00,ACTN
09/12/2012,NTF,TF071180,Multi Donor Nordic Trust Fund,DK,Denmark,Denmark  - Royal Ministry of Foreign Affairs,2009,$4601254.23,$0.00,$4601254.23,ACTN
09/12/2012,NTF,TF071180,Multi Donor Nordic Trust Fund,FI,Finland,Finland - Ministry for Foreign Affairs,2009,$2787800.00,$0.00,$2787800.00,ACTN
09/12/2012,NTF,TF071180,Multi Donor Nordic Trust Fund,IS,Iceland,Iceland - Ministry of Foreign Affairs,2009,$150000.00,$0.00,$150000.00,ACTN
09/12/2012,NTF,TF071180,Multi Donor Nordic Trust Fund,NO,Norway,Norway - Ministry of Foreign Affairs,2009,$5570314.62,$0.00,$5570314.62,ACTN
09/12/2012,NTF,TF071180,Multi Donor Nordic Trust Fund,SE,Sweden,Sweden - Ministry for Foreign Affairs,2009,$1247411.62,$0.00,$1247411.62,ACTN
09/12/2012,DEC-TC,TF070788,Multi Donor Trust Fund  Transparency and  Competitiveness,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2009,$1132670.00,$0.00,$1132670.00,ACTN
09/12/2012,SPTF,TF053483,Multi Donor Trust Fund for 1993SNA Revision-ISWGNA,E1,European Commission/European Union,EU-Commission of the European Communities,2009,$209775.00,$0.00,$209775.00,ACTN
09/12/2012,MNACC,TF071188,Multi Donor Trust Fund for Addressing Climate Change in the Middle East and North-Africa (MENA) Region,E1,European Commission/European Union,EU-Commission of the European Communities,2009,$1546845.00,$387526.80,$1934371.80,ACTN
09/12/2012,MNACC,TF071188,Multi Donor Trust Fund for Addressing Climate Change in the Middle East and North-Africa (MENA) Region,IT,Italy,Italy - Ministry of Foreign Affairs,2009,$1917475.00,$0.00,$1917475.00,ACTN
